City,Product,Quantity_Sold,Unit_Price,Total_Sales,Sale_Date
Patna,Shoes,5.0,6004,30020,2025-10-26
Bhopal,Mouse,353.0,78646,27762038,2025-03-12
Patna,Smartphone,128.0,21169,2709632,2025-08-03
Surat,Camera,174.0,82437,14344038,2025-01-02
Kolkata,Speaker,79.0,92424,7301496,2025-09-26
Mumbai,Headphones,250.0,30997,7749250,2025-06-18
Patna,Speaker,388.0,46023,17856924,2025-08-24
Chennai,Laptop,353.0,50014,17654942,2025-06-24
Delhi,Watch,461.0,5675,2616175,2025-08-23
Ahmedabad,Tablet,151.0,71637,10817187,2025-12-16
Chennai,Camera,96.0,71753,6888288,2025-06-11
Bhopal,Mouse,141.0,78970,11134770,2025-09-06
Mumbai,Tablet,80.0,59401,4752080,2025-05-27
Hyderabad,Tablet,188.0,60017,11283196,2025-01-25
Surat,Tablet,195.0,96661,18848895,2025-03-01
Lucknow,Printer,187.0,81790,15294730,2025-04-11
Bhopal,Smartphone,338.0,71142,24045996,2025-07-07
Jaipur,Speaker,255.0,72781,18559155,2025-03-20
Hyderabad,Backpack,210.0,84504,17745840,2025-06-04
Mumbai,Tablet,338.0,9239,3122782,2025-01-27
Delhi,Headphones,448.0,4599,2060352,2025-04-04
Ahmedabad,Shoes,51.0,4670,238170,2025-10-21
Kochi,Keyboard,337.0,64713,21808281,2025-09-20
Bhopal,Camera,132.0,6933,915156,2025-06-08
Lucknow,T-Shirt,37.0,2215,81955,2025-04-21
Ahmedabad,Monitor,456.0,10980,5006880,2025-08-26
Surat,Laptop,185.0,73640,13623400,2025-12-14
Kochi,Backpack,407.0,93355,37995485,2025-01-27
Lucknow,Watch,271.0,5828,1579388,2025-12-03
Kochi,Watch,40.0,28798,1151920,2025-09-04
Mumbai,T-Shirt,119.0,70185,8352015,2025-07-07
Chennai,Tablet,337.0,33105,11156385,2025-10-21
Delhi,Tablet,384.0,73656,28283904,2025-07-24
Mumbai,Jeans,327.0,76071,24875217,2025-06-22
Ahmedabad,T-Shirt,341.0,56477,19258657,2025-02-06
Patna,Headphones,282.0,53132,14983224,2025-09-11
Surat,Headphones,274.0,79132,21682168,2025-08-12
Mysuru,Backpack,282.0,43053,12140946,2025-06-14
Patna,Speaker,221.0,95640,21136440,2025-06-20
Chennai,Camera,280.0,28539,7990920,2025-07-25
Jaipur,Monitor,382.0,33803,12912746,2025-06-15
Ahmedabad,Keyboard,1.0,95699,95699,2025-01-10
Lucknow,Laptop,266.0,18205,4842530,2025-05-01
Hyderabad,Shoes,110.0,41775,4595250,2025-01-25
Kochi,T-Shirt,422.0,36670,15474740,2025-09-17
Jaipur,Camera,475.0,75422,35825450,2025-03-04
Bengaluru,Mouse,183.0,20961,3835863,2025-03-09
Kolkata,Monitor,299.0,33249,9941451,2025-04-09
Patna,Watch,48.0,75274,3613152,2025-07-19
Mysuru,Shoes,376.0,10618,3992368,2025-12-11
Patna,Mouse,89.0,64499,5740411,2025-12-23
Lucknow,Printer,465.0,12999,6044535,2025-10-21
Hyderabad,Laptop,375.0,76034,28512750,2025-07-03
Patna,Laptop,472.0,44329,20923288,2025-06-27
Pune,Keyboard,477.0,16299,7774623,2025-04-24
Surat,Printer,309.0,1998,617382,2025-11-25
Surat,Keyboard,28.0,40448,1132544,2025-09-02
Kolkata,Tablet,290.0,20105,5830450,2025-06-17
Bhopal,Shoes,79.0,7121,562559,2025-11-24
Pune,Mouse,386.0,78505,30302930,2025-10-17
Mumbai,Shoes,222.0,38482,8543004,2025-07-05
Delhi,Backpack,43.0,62871,2703453,2025-10-24
Bengaluru,Tablet,205.0,34913,7157165,2025-02-13
Jaipur,Keyboard,397.0,91971,36512487,2025-03-25
Delhi,Mouse,287.0,26466,7595742,2025-08-13
Surat,Camera,101.0,74053,7479353,2025-10-24
Jaipur,Shoes,125.0,9890,1236250,2025-05-25
Pune,Backpack,351.0,75999,26675649,2025-02-04
Surat,Keyboard,217.0,48376,10497592,2025-06-07
Kolkata,Backpack,305.0,86405,26353525,2025-01-25
Hyderabad,Headphones,180.0,81269,14628420,2025-08-20
Delhi,Mouse,23.0,31103,715369,2025-04-22
Kolkata,Headphones,388.0,95984,37241792,2025-02-04
Bhopal,Laptop,125.0,81896,10237000,2025-03-28
Kochi,Printer,148.0,2300,340400,2025-06-23
Patna,Smartphone,157.0,59490,9339930,2025-08-01
Kolkata,Shoes,379.0,71017,26915443,2025-04-07
Jaipur,Tablet,385.0,34402,13244770,2025-09-16
Lucknow,T-Shirt,73.0,91604,6687092,2025-12-22
Bengaluru,Keyboard,299.0,87469,26153231,2025-09-02
Hyderabad,Headphones,31.0,37726,1169506,2025-04-26
Bhopal,Camera,139.0,7457,1036523,2025-08-21
Bengaluru,Smartphone,199.0,87056,17324144,2025-05-22
Kochi,Monitor,338.0,47714,16127332,2025-02-01
Hyderabad,Printer,453.0,85619,38785407,2025-07-08
Pune,Tablet,364.0,13555,4934020,2025-06-16
Kochi,Camera,273.0,12037,3286101,2025-03-07
Jaipur,Mouse,288.0,93884,27038592,2025-01-02
Chennai,Monitor,272.0,40467,11007024,2025-06-16
Pune,T-Shirt,81.0,2908,235548,2025-06-22
Kolkata,Backpack,321.0,40126,12880446,2025-04-17
Hyderabad,Jeans,32.0,82523,2640736,2025-05-13
Mysuru,Printer,16.0,73237,1171792,2025-05-08
Delhi,Backpack,460.0,51991,23915860,2025-11-05
Mumbai,T-Shirt,196.0,68751,13475196,2025-11-20
Kochi,Speaker,352.0,30309,10668768,2025-07-08
Lucknow,Headphones,219.0,41444,9076236,2025-10-11
Ahmedabad,Tablet,68.0,27600,1876800,2025-11-05
Lucknow,Tablet,351.0,27017,9482967,2025-03-10
Bhopal,T-Shirt,461.0,69156,31880916,2025-03-14
Mysuru,Jeans,75.0,86513,6488475,2025-10-06
Kolkata,Smartphone,286.0,70356,20121816,2025-12-04
Delhi,Backpack,430.0,19573,8416390,2025-12-01
Patna,Backpack,451.0,54769,24700819,2025-07-10
Ahmedabad,T-Shirt,479.0,83972,40222588,2025-12-09
Delhi,Jeans,97.0,14494,1405918,2025-03-06
Bengaluru,Jeans,314.0,81364,25548296,2025-05-20
Lucknow,Camera,119.0,78666,9361254,2025-04-08
Surat,Laptop,184.0,10917,2008728,2025-12-25
Ahmedabad,Headphones,258.0,79760,20578080,2025-08-23
Surat,Backpack,95.0,51285,4872075,2025-08-16
Delhi,Headphones,99.0,30158,2985642,2025-01-14
Patna,Laptop,474.0,35870,17002380,2025-07-08
Bhopal,Speaker,104.0,99823,10381592,2025-04-03
Delhi,Monitor,489.0,58077,28399653,2025-10-16
Bhopal,Backpack,444.0,60471,26849124,2025-04-14
Pune,Jeans,22.0,80182,1764004,2025-12-27
Pune,T-Shirt,161.0,52162,8398082,2025-10-24
Lucknow,Camera,275.0,69343,19069325,2025-11-23
Patna,Laptop,267.0,14828,3959076,2025-08-15
Kochi,Monitor,22.0,32707,719554,2025-09-18
Pune,T-Shirt,21.0,73598,1545558,2025-07-17
Patna,Speaker,493.0,6961,3431773,2025-04-10
Ahmedabad,Keyboard,453.0,40418,18309354,2025-05-15
Delhi,Keyboard,151.0,80864,12210464,2025-01-23
Jaipur,Monitor,73.0,61262,4472126,2025-11-15
Mumbai,T-Shirt,257.0,15333,3940581,2025-03-25
Lucknow,Monitor,357.0,72118,25746126,2025-03-13
Pune,Backpack,231.0,3765,869715,2025-03-15
Lucknow,Monitor,365.0,26967,9842955,2025-08-03
Hyderabad,Backpack,355.0,85510,30356050,2025-12-26
Delhi,T-Shirt,376.0,16693,6276568,2025-02-04
Bhopal,Mouse,325.0,48071,15623075,2025-02-17
Bhopal,Keyboard,373.0,67565,25201745,2025-10-06
Pune,Tablet,195.0,6254,1219530,2025-03-11
Lucknow,Printer,338.0,20172,6818136,2025-03-28
Delhi,Headphones,394.0,93829,36968626,2025-01-14
Hyderabad,Watch,374.0,58991,22062634,2025-05-21
Delhi,Smartphone,461.0,17745,8180445,2025-04-01
Lucknow,Jeans,130.0,2100,273000,2025-08-16
Kochi,Mouse,279.0,1253,349587,2025-10-16
Chennai,Shoes,302.0,86938,26255276,2025-08-15
Pune,Mouse,41.0,79302,3251382,2025-10-01
Chennai,Monitor,281.0,36952,10383512,2025-10-21
Jaipur,Printer,423.0,27715,11723445,2025-01-06
Delhi,Laptop,335.0,46246,15492410,2025-01-05
Kochi,Laptop,342.0,76271,26084682,2025-10-10
Kolkata,Monitor,45.0,6926,311670,2025-02-14
Delhi,Headphones,345.0,37774,13032030,2025-10-22
Bhopal,T-Shirt,305.0,75510,23030550,2025-09-06
Ahmedabad,T-Shirt,297.0,47710,14169870,2025-01-03
Patna,Watch,166.0,48809,8102294,2025-07-27
Mumbai,Jeans,219.0,72651,15910569,2025-02-10
Ahmedabad,Headphones,63.0,91545,5767335,2025-05-11
Jaipur,Keyboard,269.0,28004,7533076,2025-12-07
Lucknow,Laptop,56.0,75390,4221840,2025-12-21
Jaipur,Smartphone,248.0,95405,23660440,2025-12-20
Mysuru,Jeans,362.0,38142,13807404,2025-07-20
Kochi,Backpack,133.0,69364,9225412,2025-10-20
Kolkata,Monitor,67.0,81016,5428072,2025-10-16
Jaipur,T-Shirt,324.0,65739,21299436,2025-08-26
Delhi,Monitor,313.0,31003,9703939,2025-12-10
Chennai,Laptop,61.0,3643,222223,2025-08-21
Patna,Smartphone,378.0,27675,10461150,2025-10-14
Pune,Laptop,171.0,46329,7922259,2025-09-26
Surat,Shoes,6.0,84467,506802,2025-04-23
Hyderabad,Watch,405.0,9391,3803355,2025-05-10
Jaipur,Tablet,166.0,1303,216298,2025-02-22
Kolkata,Backpack,203.0,95448,19375944,2025-10-20
Bengaluru,Printer,90.0,25930,2333700,2025-06-27
Kolkata,Monitor,345.0,63297,21837465,2025-08-26
Bengaluru,Speaker,70.0,63610,4452700,2025-03-21
Ahmedabad,Monitor,443.0,70881,31400283,2025-06-15
Patna,Printer,212.0,97832,20740384,2025-01-27
Jaipur,Watch,290.0,95522,27701380,2025-11-11
Jaipur,Tablet,10.0,27797,277970,2025-10-22
Kolkata,Jeans,470.0,46846,22017620,2025-02-05
Hyderabad,Printer,16.0,44953,719248,2025-07-21
Jaipur,Printer,85.0,75339,6403815,2025-10-13
Delhi,Camera,60.0,99005,5940300,2025-05-23
Kochi,Backpack,364.0,4645,1690780,2025-05-14
Mumbai,Mouse,450.0,31648,14241600,2025-06-15
Kochi,Watch,111.0,69325,7695075,2025-05-06
Mumbai,Backpack,402.0,5401,2171202,2025-04-03
Ahmedabad,Tablet,13.0,63763,828919,2025-09-05
Chennai,Backpack,473.0,63869,30210037,2025-12-28
Jaipur,Watch,398.0,43404,17274792,2025-03-25
Kochi,Smartphone,421.0,68152,28691992,2025-11-05
Chennai,T-Shirt,19.0,60710,1153490,2025-07-23
Kochi,Tablet,60.0,1038,62280,2025-05-02
Surat,Printer,305.0,11913,3633465,2025-06-15
Mysuru,Laptop,53.0,68733,3642849,2025-11-24
Hyderabad,Laptop,296.0,99917,29575432,2025-05-21
Mysuru,Shoes,165.0,26787,4419855,2025-04-10
Hyderabad,Tablet,164.0,58317,9563988,2025-11-04
Hyderabad,Headphones,81.0,36366,2945646,2025-02-01
Lucknow,Tablet,264.0,13918,3674352,2025-04-18
Kolkata,Tablet,164.0,36027,5908428,2025-03-23
Patna,Watch,294.0,32589,9581166,2025-03-03
Hyderabad,Camera,457.0,44899,20518843,2025-09-15
Bengaluru,Headphones,15.0,62200,933000,2025-11-02
Mumbai,Keyboard,28.0,11787,330036,2025-07-13
Delhi,T-Shirt,306.0,78193,23927058,2025-11-27
Bhopal,T-Shirt,229.0,81281,18613349,2025-06-10
Kolkata,Printer,102.0,93941,9581982,2025-11-26
Jaipur,Smartphone,499.0,99556,49678444,2025-08-19
Delhi,Smartphone,417.0,92066,38391522,2025-08-04
Ahmedabad,Watch,351.0,84965,29822715,2025-12-25
Ahmedabad,Mouse,119.0,29833,3550127,2025-03-28
Mysuru,Camera,133.0,48138,6402354,2025-07-06
Bhopal,Monitor,341.0,43796,14934436,2025-06-15
Ahmedabad,Laptop,34.0,62803,2135302,2025-02-12
Ahmedabad,Mouse,434.0,22887,9932958,2025-05-25
Kolkata,Camera,295.0,17197,5073115,2025-09-04
Pune,Printer,366.0,14522,5315052,2025-06-18
Surat,Smartphone,406.0,40099,16280194,2025-09-15
Pune,Camera,212.0,31770,6735240,2025-10-08
Jaipur,Headphones,499.0,63725,31798775,2025-07-03
Kolkata,Shoes,417.0,91471,38143407,2025-10-14
Patna,Keyboard,291.0,45352,13197432,2025-09-23
Chennai,Headphones,340.0,88266,30010440,2025-02-24
Mysuru,T-Shirt,294.0,64283,18899202,2025-02-19
Lucknow,Mouse,167.0,73256,12233752,2025-02-27
Ahmedabad,Headphones,158.0,53688,8482704,2025-02-20
Mumbai,Speaker,417.0,78672,32806224,2025-07-11
Ahmedabad,Speaker,339.0,8558,2901162,2025-02-07
Kochi,Headphones,455.0,76622,34863010,2025-11-26
Bengaluru,Jeans,76.0,87123,6621348,2025-03-15
Jaipur,Watch,200.0,81184,16236800,2025-10-15
Chennai,Shoes,349.0,41997,14656953,2025-05-19
Patna,Monitor,348.0,40417,14065116,2025-07-23
Mysuru,Backpack,46.0,76879,3536434,2025-01-20
Jaipur,Keyboard,434.0,17218,7472612,2025-05-02
Kolkata,Monitor,282.0,7463,2104566,2025-01-23
Jaipur,Printer,184.0,14878,2737552,2025-05-28
Bengaluru,Shoes,222.0,92541,20544102,2025-10-13
Surat,Backpack,365.0,50673,18495645,2025-07-13
Pune,Tablet,109.0,87333,9519297,2025-03-16
Delhi,Shoes,285.0,50909,14509065,2025-06-27
Pune,Headphones,148.0,88326,13072248,2025-03-05
Bengaluru,Smartphone,332.0,2558,849256,2025-03-24
Mysuru,Mouse,337.0,57743,19459391,2025-03-03
Delhi,Speaker,413.0,55007,22717891,2025-08-26
Bhopal,Camera,477.0,56297,26853669,2025-10-06
Ahmedabad,Tablet,218.0,72858,15883044,2025-08-13
Kolkata,Shoes,96.0,56175,5392800,2025-10-01
Lucknow,Mouse,434.0,96302,41795068,2025-04-23
Jaipur,Watch,211.0,72087,15210357,2025-10-12
Bengaluru,Laptop,291.0,63842,18578022,2025-12-12
Mumbai,Camera,247.0,91004,22477988,2025-02-05
Bhopal,T-Shirt,270.0,98880,26697600,2025-05-15
Jaipur,Smartphone,268.0,80463,21564084,2025-02-08
Ahmedabad,Speaker,380.0,87497,33248860,2025-11-03
Surat,Speaker,277.0,76473,21183021,2025-05-20
Bengaluru,Monitor,176.0,70627,12430352,2025-01-16
Ahmedabad,Tablet,464.0,62003,28769392,2025-10-24
Kolkata,Keyboard,181.0,39116,7079996,2025-05-06
Bengaluru,T-Shirt,473.0,78833,37288009,2025-12-10
Bhopal,Jeans,289.0,34636,10009804,2025-01-21
Ahmedabad,Camera,87.0,75585,6575895,2025-01-22
Hyderabad,Jeans,378.0,82330,31120740,2025-01-10
Ahmedabad,Smartphone,65.0,66769,4339985,2025-02-28
Patna,Watch,130.0,17872,2323360,2025-10-09
Hyderabad,Printer,132.0,2361,311652,2025-12-04
Lucknow,Headphones,466.0,78064,36377824,2025-12-05
Surat,Mouse,190.0,23489,4462910,2025-05-26
Bhopal,Shoes,249.0,24199,6025551,2025-09-28
Bengaluru,Backpack,44.0,19514,858616,2025-10-27
Delhi,Printer,254.0,99165,25187910,2025-07-25
Pune,Shoes,339.0,58195,19728105,2025-12-21
Delhi,Shoes,296.0,96754,28639184,2025-06-02
Surat,Watch,387.0,15703,6077061,2025-01-06
Ahmedabad,Keyboard,244.0,40000,9760000,2025-08-24
Patna,Monitor,273.0,31126,8497398,2025-07-22
Bhopal,Keyboard,243.0,34922,8486046,2025-03-17
Kochi,Keyboard,7.0,38352,268464,2025-08-13
Surat,Backpack,493.0,70001,34510493,2025-11-02
Mumbai,Monitor,273.0,84048,22945104,2025-06-28
Pune,Camera,471.0,85967,40490457,2025-05-11
Hyderabad,Watch,411.0,13381,5499591,2025-05-21
Lucknow,Keyboard,237.0,89011,21095607,2025-12-08
Bhopal,Speaker,302.0,26049,7866798,2025-09-11
Surat,T-Shirt,93.0,41560,3865080,2025-09-01
Surat,Laptop,426.0,9406,4006956,2025-01-14
Mumbai,Tablet,54.0,90349,4878846,2025-08-12
Chennai,T-Shirt,146.0,33516,4893336,2025-04-02
Bengaluru,Camera,48.0,7955,381840,2025-10-22
Mysuru,Printer,112.0,79062,8854944,2025-11-04
Bhopal,Smartphone,45.0,79757,3589065,2025-03-13
Surat,Jeans,461.0,85422,39379542,2025-10-26
Delhi,Monitor,57.0,91680,5225760,2025-03-09
Hyderabad,Mouse,339.0,10424,3533736,2025-11-15
Mysuru,Watch,394.0,56465,22247210,2025-12-22
Patna,Jeans,166.0,34229,5682014,2025-03-25
Mumbai,Watch,398.0,8677,3453446,2025-07-13
Kolkata,Laptop,133.0,35190,4680270,2025-03-15
Mumbai,Mouse,476.0,26802,12757752,2025-10-13
Delhi,Speaker,252.0,14712,3707424,2025-03-18
Patna,Keyboard,112.0,80973,9068976,2025-11-04
Mysuru,Mouse,367.0,34447,12642049,2025-02-02
Mumbai,Smartphone,293.0,95860,28086980,2025-05-25
Ahmedabad,Laptop,460.0,65734,30237640,2025-03-21
Surat,Laptop,478.0,5459,2609402,2025-11-13
Hyderabad,Headphones,359.0,43731,15699429,2025-07-19
Bengaluru,Tablet,363.0,64814,23527482,2025-08-14
Pune,Printer,373.0,9688,3613624,2025-09-08
Bengaluru,Keyboard,489.0,90842,44421738,2025-08-04
Lucknow,Tablet,479.0,47544,22773576,2025-06-22
Hyderabad,Keyboard,29.0,83373,2417817,2025-11-03
Kolkata,Tablet,437.0,45072,19696464,2025-02-27
Ahmedabad,Jeans,393.0,38505,15132465,2025-11-07
Delhi,Tablet,21.0,50853,1067913,2025-11-07
Hyderabad,T-Shirt,200.0,14494,2898800,2025-11-23
Kolkata,Mouse,44.0,83441,3671404,2025-08-24
Chennai,Headphones,19.0,25809,490371,2025-01-24
Lucknow,Shoes,251.0,51456,12915456,2025-02-26
Jaipur,Speaker,158.0,65994,10427052,2025-09-27
Patna,Mouse,495.0,2651,1312245,2025-01-11
Bengaluru,Backpack,404.0,95004,38381616,2025-01-13
Mumbai,Shoes,414.0,86201,35687214,2025-11-17
Ahmedabad,Speaker,446.0,70828,31589288,2025-03-24
Lucknow,Shoes,474.0,9941,4712034,2025-01-24
Delhi,Mouse,335.0,2998,1004330,2025-08-20
Bengaluru,Shoes,360.0,85537,30793320,2025-03-01
Delhi,Speaker,26.0,40783,1060358,2025-02-15
Lucknow,Headphones,428.0,77969,33370732,2025-02-27
Kochi,Smartphone,59.0,65661,3873999,2025-10-26
Lucknow,Shoes,33.0,27060,892980,2025-07-11
Patna,Printer,378.0,89418,33800004,2025-07-11
Mumbai,Speaker,295.0,72050,21254750,2025-03-11
Kochi,Jeans,110.0,6475,712250,2025-10-06
Kolkata,Smartphone,62.0,36399,2256738,2025-03-25
Pune,Headphones,357.0,48987,17488359,2025-09-06
Ahmedabad,Shoes,474.0,76782,36394668,2025-01-05
Mumbai,Jeans,434.0,83363,36179542,2025-10-13
Patna,Headphones,9.0,64327,578943,2025-02-01
Bengaluru,Headphones,475.0,12183,5786925,2025-12-21
Lucknow,Monitor,146.0,55055,8038030,2025-12-26
Patna,Jeans,244.0,91248,22264512,2025-03-07
Delhi,Speaker,139.0,69062,9599618,2025-08-14
Chennai,Headphones,313.0,91159,28532767,2025-01-20
Delhi,T-Shirt,256.0,80722,20664832,2025-02-21
Kochi,Jeans,155.0,46093,7144415,2025-07-01
Jaipur,Shoes,99.0,15901,1574199,2025-09-04
Lucknow,Backpack,442.0,71242,31488964,2025-09-08
Ahmedabad,Jeans,321.0,86919,27900999,2025-04-09
Bengaluru,Shoes,58.0,20058,1163364,2025-11-28
Mysuru,Mouse,255.0,23611,6020805,2025-03-22
Mysuru,Laptop,28.0,85023,2380644,2025-06-10
Chennai,Keyboard,129.0,44316,5716764,2025-10-26
Mysuru,Jeans,233.0,6177,1439241,2025-02-24
Bengaluru,Monitor,276.0,23553,6500628,2025-03-26
Bengaluru,Mouse,264.0,15712,4147968,2025-02-08
Bhopal,Mouse,304.0,76490,23252960,2025-06-14
Chennai,T-Shirt,347.0,43188,14986236,2025-04-25
Mumbai,Backpack,117.0,13353,1562301,2025-04-24
Pune,Printer,103.0,49721,5121263,2025-04-03
Ahmedabad,Camera,249.0,7622,1897878,2025-07-05
Chennai,Monitor,313.0,60136,18822568,2025-03-13
Kolkata,Headphones,235.0,94848,22289280,2025-04-21
Kolkata,Watch,104.0,44525,4630600,2025-03-02
Bhopal,Camera,31.0,37279,1155649,2025-03-04
Kochi,Mouse,235.0,55317,12999495,2025-03-25
Kolkata,Shoes,454.0,39187,17790898,2025-10-06
Patna,Jeans,327.0,80654,26373858,2025-03-19
Jaipur,Printer,118.0,11834,1396412,2025-07-28
Jaipur,Mouse,442.0,28869,12760098,2025-10-16
Kochi,Mouse,143.0,2401,343343,2025-12-14
Bhopal,Printer,127.0,32983,4188841,2025-06-14
Lucknow,Shoes,457.0,78064,35675248,2025-03-19
Mysuru,Laptop,214.0,6296,1347344,2025-01-16
Bhopal,Jeans,259.0,4906,1270654,2025-07-17
Pune,Mouse,415.0,91811,38101565,2025-02-15
Ahmedabad,Shoes,43.0,73702,3169186,2025-01-23
Bhopal,Keyboard,487.0,29074,14159038,2025-03-12
Hyderabad,Shoes,332.0,12392,4114144,2025-01-16
Surat,Watch,83.0,92683,7692689,2025-08-28
Lucknow,T-Shirt,299.0,3699,1106001,2025-08-15
Patna,Headphones,448.0,92661,41512128,2025-07-06
Patna,Printer,190.0,82657,15704830,2025-08-23
Surat,Laptop,441.0,82722,36480402,2025-02-13
Mysuru,T-Shirt,171.0,70088,11985048,2025-01-10
Pune,Jeans,139.0,91995,12787305,2025-10-18
Lucknow,Jeans,107.0,90240,9655680,2025-02-20
Mysuru,Backpack,377.0,7684,2896868,2025-09-22
Kolkata,Monitor,27.0,15044,406188,2025-07-12
Ahmedabad,Camera,21.0,48416,1016736,2025-06-06
Surat,Tablet,361.0,9282,3350802,2025-09-23
Patna,Shoes,71.0,44399,3152329,2025-04-18
Mumbai,Speaker,245.0,97149,23801505,2025-10-28
Bhopal,Shoes,386.0,98150,37885900,2025-04-11
Kolkata,Monitor,137.0,66503,9110911,2025-11-14
Hyderabad,Laptop,33.0,49365,1629045,2025-06-15
Ahmedabad,Tablet,270.0,16583,4477410,2025-08-23
Jaipur,Speaker,423.0,70342,29754666,2025-05-15
Lucknow,Backpack,410.0,88751,36387910,2025-12-26
Mysuru,Smartphone,97.0,60514,5869858,2025-02-03
Pune,Monitor,92.0,38297,3523324,2025-02-04
Delhi,Watch,58.0,91867,5328286,2025-03-16
Delhi,Printer,105.0,68747,7218435,2025-11-01
Hyderabad,Keyboard,497.0,89943,44701671,2025-09-05
Ahmedabad,Backpack,216.0,58677,12674232,2025-12-21
Bengaluru,Watch,97.0,8750,848750,2025-01-28
Patna,Shoes,428.0,68607,29363796,2025-11-11
Pune,Camera,176.0,86451,15215376,2025-11-26
Kolkata,Mouse,304.0,87774,26683296,2025-12-17
Kochi,Tablet,228.0,60531,13801068,2025-05-19
Delhi,Monitor,405.0,40672,16472160,2025-03-26
Hyderabad,Shoes,248.0,49245,12212760,2025-05-25
Kochi,Laptop,76.0,46784,3555584,2025-05-15
Delhi,Camera,474.0,21575,10226550,2025-12-18
Hyderabad,Headphones,499.0,23484,11718516,2025-12-23
Mysuru,Speaker,407.0,20617,8391119,2025-03-08
Mumbai,Laptop,163.0,75804,12356052,2025-03-15
Hyderabad,Backpack,95.0,27390,2602050,2025-09-23
Bengaluru,Speaker,163.0,45568,7427584,2025-03-12
Ahmedabad,Tablet,500.0,21811,10905500,2025-09-10
Mumbai,Monitor,13.0,53526,695838,2025-08-25
Delhi,Mouse,476.0,42471,20216196,2025-03-01
Bhopal,Tablet,500.0,67007,33503500,2025-06-21
Bhopal,Watch,243.0,38488,9352584,2025-10-22
Delhi,Jeans,290.0,95991,27837390,2025-08-11
Bhopal,Smartphone,375.0,63281,23730375,2025-01-05
Surat,Tablet,60.0,40880,2452800,2025-01-13
Lucknow,Printer,113.0,58954,6661802,2025-06-03
Kolkata,Laptop,312.0,84558,26382096,2025-04-19
Jaipur,Shoes,401.0,36928,14808128,2025-04-01
Mumbai,Tablet,435.0,58887,25615845,2025-11-22
Mumbai,Tablet,202.0,25986,5249172,2025-08-11
Lucknow,Camera,262.0,7846,2055652,2025-11-12
Pune,Headphones,367.0,56551,20754217,2025-06-13
Kolkata,Laptop,146.0,45709,6673514,2025-06-10
Ahmedabad,Printer,288.0,11981,3450528,2025-04-24
Mysuru,Mouse,380.0,54974,20890120,2025-08-10
Delhi,Jeans,373.0,56052,20907396,2025-12-14
Delhi,Printer,301.0,78872,23740472,2025-02-05
Chennai,Watch,244.0,69352,16921888,2025-06-03
Mysuru,Camera,388.0,49753,19304164,2025-02-01
Pune,Speaker,469.0,36325,17036425,2025-07-06
Jaipur,Mouse,364.0,74937,27277068,2025-03-07
Delhi,Printer,196.0,38440,7534240,2025-09-16
Bengaluru,Printer,424.0,40082,16994768,2025-10-10
Ahmedabad,Tablet,379.0,61245,23211855,2025-04-01
Patna,Laptop,79.0,34929,2759391,2025-05-21
Kochi,Speaker,242.0,16776,4059792,2025-11-22
Mysuru,Watch,214.0,24010,5138140,2025-08-23
Surat,Shoes,15.0,16144,242160,2025-05-16
Mumbai,Camera,382.0,47916,18303912,2025-10-16
Lucknow,Keyboard,445.0,34304,15265280,2025-11-22
Ahmedabad,T-Shirt,419.0,16174,6776906,2025-06-17
Bhopal,Camera,9.0,34518,310662,2025-03-19
Bengaluru,Headphones,164.0,60929,9992356,2025-12-05
Kolkata,Headphones,28.0,36239,1014692,2025-06-14
Surat,Monitor,490.0,47159,23107910,2025-01-10
Hyderabad,Tablet,328.0,10569,3466632,2025-09-07
Patna,Speaker,94.0,12887,1211378,2025-10-25
Delhi,Tablet,166.0,41946,6963036,2025-11-26
Hyderabad,Watch,351.0,91983,32286033,2025-12-12
Mumbai,Tablet,297.0,46588,13836636,2025-03-01
Delhi,Tablet,145.0,49391,7161695,2025-08-14
Kolkata,Monitor,467.0,21868,10212356,2025-02-07
Delhi,Tablet,114.0,25196,2872344,2025-09-20
Bhopal,Printer,488.0,69398,33866224,2025-09-23
Jaipur,T-Shirt,388.0,15437,5989556,2025-07-15
Mysuru,Smartphone,60.0,17700,1062000,2025-01-16
Kolkata,Watch,354.0,48022,16999788,2025-03-27
Ahmedabad,Monitor,306.0,69066,21134196,2025-06-06
Bhopal,Watch,15.0,98077,1471155,2025-02-08
Delhi,Printer,356.0,19159,6820604,2025-12-08
Hyderabad,Headphones,108.0,17567,1897236,2025-02-14
Bhopal,Jeans,402.0,15143,6087486,2025-02-01
Patna,Mouse,388.0,57024,22125312,2025-01-07
Mumbai,Laptop,407.0,86979,35400453,2025-09-19
Bengaluru,Mouse,61.0,33662,2053382,2025-01-03
Hyderabad,Speaker,6.0,99400,596400,2025-02-26
Mumbai,Monitor,309.0,27422,8473398,2025-10-07
Delhi,Speaker,180.0,4335,780300,2025-02-05
Kochi,T-Shirt,483.0,36856,17801448,2025-10-12
Kolkata,Headphones,438.0,66119,28960122,2025-12-20
Chennai,Tablet,292.0,9457,2761444,2025-02-27
Lucknow,Jeans,8.0,69815,558520,2025-04-23
Chennai,Watch,88.0,99330,8741040,2025-09-01
Bhopal,Smartphone,474.0,28551,13533174,2025-09-28
Bhopal,Mouse,188.0,92005,17296940,2025-10-06
Ahmedabad,Speaker,491.0,14567,7152397,2025-03-27
Kolkata,Keyboard,218.0,28585,6231530,2025-09-08
